"A1" "A2" "A3" "A4" "A6" "A10" "A11" "A14" "A15" "A16" "A19" "A20" "A24" "A26" "A28" "A29" "A33" "A34" "A36" "A37" "A38" "A39" "A41" "A42" "A43" "A46" "A48" "A49" "A51" "A57" "A60" "A61" "A62" "A63" "A64" "A66" "A68" "A69" "A70" "A76" "A79" "A81" "A82" "A83" "A85" "A86" "A89" "A90" "A92" "A94" "A97" "A98" "A99" "B2" "B3" "B5" "B6" "B10" "B11" "B12" "B18" "B19" "B21" "B22" "B23" "B24" "B26" "B28" "B29" "B31" "B33" "B37" "B38" "B40" "B42" "B43" "B44" "B45" "B46" "B47" "B48" "B51" "B53" "B55" "B56" "B63" "B66" "B67" "B69" "B70" "B71" "B75" "B76" "B78" "B79" "B83" "B87" "B88" "B90" "B91" "B92" "B95" "B100"
"A1" 0.0787123061305015 0.394162939233648 0.514700290070731 0.32827743897084 0.430253916618438 0.441367172049129 0.503608167621777 0.373157811581642 0.522595934853356 0.462020888808446 0.582317590350558 0.447633211300408 0.2703376991594 0.453643457312091 0.593801184328853 0.453371582596682 0.391988220280402 0.538550690476669 0.356893024861827 0.389900902850536 0.496553066182822 0.45294099052584 0.608653151757113 0.366712138188334 0.39130106184089 0.458685899333239 0.441314229225373 0.474909384347985 0.265010208128463 0.2859822928157 0.516929647671089 0.475450703188046 0.344120147692368 0.359825834096911 0.307797024640014 0.350719351115918 0.408285817590877 0.325077811431578 0.449734198146218 0.367900570443253 0.349507512068406 0.444250259346254 0.55475338805913 0.538301781920137 0.373434922322096 0.370309700704205 0.32045503795212 0.340115429362112 0.440553103272064 0.342867945357617 0.428588397546395 0.44500896074587 0.367083852795508 0.613233903642001 0.582970620110007 0.718575958744647 0.654576927540769 0.625968165037037 0.612667765450078 0.545114747428885 0.495371354303897 0.54194679527994 0.598801794264826 0.669925989811508 0.627289969448807 0.541535010321159 0.596856299475459 0.496994938093863 0.709984012612567 0.677116097666522 0.757209505776007 0.639197252221339 0.682193280140134 0.493932459020651 0.589251720891526 0.559173117211158 0.684997210918165 0.634518909827964 0.598045313022387 0.612682193945941 0.562645620611023 0.62302086364017 0.482715233387986 0.657047564984391 0.537445972857912 0.557899234043411 0.537874196125732 0.583006077845755 0.562558700571826 0.667258035153481 0.59842232545961 0.538525640284985 0.693078002771156 0.551825333943897 0.692826876310005 0.608420991123406 0.733924401703981 0.648554031074732 0.579331575105298 0.623389228171185 0.539944346847928 0.542006496850004 0.529070574244367
"A2" 0.394162939233648 0.0827767899562 0.409450269072348 0.381661879106896 0.530011876438573 0.474485301245201 0.449370493187226 0.360646505631186 0.418667889278636 0.584871121351499 0.343488409130009 0.416645607332119 0.463197918761327 0.446076945853 0.483713716947564 0.40727885074874 0.508581403931317 0.420060546647863 0.365693361831438 0.37775747563205 0.391755820812137 0.358909762054638 0.549889266668864 0.391848550475935 0.510928374011631 0.336363622485683 0.457964771734877 0.316276744688094 0.397451878120411 0.366726212713308 0.389143754923306 0.295005708293527 0.508317708634629 0.414065680793249 0.440230485355404 0.359855825329905 0.439253091821227 0.424841768216005 0.315151818150955 0.299444435227495 0.585652331618444 0.424509483770215 0.470362541397938 0.536105292366429 0.556024022380887 0.252224721211401 0.331470508272597 0.412290517045689 0.45595362321658 0.491161440704422 0.341380170966 0.365268247454227 0.510042966765448 0.530327976595663 0.455778744744818 0.50620627757853 0.486346864219561 0.605208668610476 0.478852748557348 0.337863878699858 0.376158083804774 0.430138502227396 0.446416620041143 0.495973271904787 0.662987790415732 0.433357417652199 0.559471303407119 0.286381591596662 0.477215924586752 0.57459355888817 0.710999497784015 0.549488479735969 0.643094886508218 0.402700033322457 0.600091971184659 0.533746158585728 0.429023451246996 0.438247957194113 0.393146378595128 0.446803828217198 0.390543514203212 0.517071706960489 0.383814174668092 0.456169491052957 0.471152746592601 0.481292700703343 0.510281418272839 0.367155715774948 0.400825522123776 0.555987097930166 0.584330125555748 0.401909306926712 0.574969049401552 0.451651295548467 0.449672833653587 0.484763700065766 0.656199528062232 0.537818502868979 0.52261356954733 0.54679018485107 0.456746413762135 0.486492235597003 0.522231530123577
"A3" 0.514700290070731 0.409450269072348 0.0501208510918154 0.245578395751415 0.409754321399431 0.486956770187015 0.309985808257724 0.337990388385645 0.317671994067463 0.479572908602451 0.506933181963183 0.374545803279256 0.439090882129809 0.377390407409592 0.46615649720209 0.451438980015766 0.377609981976532 0.350539334640154 0.503513603032388 0.258483716726913 0.369053926410163 0.406698391159012 0.368382887285231 0.466569423106043 0.477359214761253 0.527775849482389 0.285253815561578 0.25589564285251 0.455139473619613 0.335828890037808 0.440361404870913 0.382485920460196 0.427709857843825 0.393244918810215 0.433279052538849 0.384263039134656 0.369901624845188 0.416920335761153 0.51271810434922 0.434938438503111 0.501875190166949 0.495392265609602 0.53776202763329 0.234658509978396 0.39699043643047 0.410664706310247 0.482217472960913 0.35061176153413 0.23781760704645 0.351273970677306 0.43178894547056 0.378062312189566 0.561465289962846 0.703344703943829 0.516268392464571 0.547355891473653 0.658876161818873 0.633553631534881 0.583207850930005 0.411887478504763 0.594639977514312 0.47104276229916 0.43239390069918 0.560739641498645 0.613016837025266 0.590565578473272 0.604797426501312 0.334729541229476 0.563558301153161 0.556672436458651 0.729947484703122 0.595554226890511 0.741686458387501 0.535623495453864 0.506288774355907 0.647634169640771 0.628541892834364 0.42234543353159 0.377635428034607 0.516587625273499 0.43321207613767 0.548893640183274 0.537521228451973 0.641747908032 0.608582993740055 0.607379914559268 0.56869259650405 0.54160240338676 0.365295370299334 0.508212273656027 0.405906982182001 0.536814592656754 0.571497662310447 0.583643481907414 0.472083692059584 0.49902039464331 0.567568559364673 0.653945936439899 0.542188867093487 0.672351731869339 0.617410573877038 0.687130100521148 0.527334887841116
"A4" 0.32827743897084 0.381661879106896 0.245578395751415 0.0323495013092819 0.282679215072881 0.476170844021879 0.363185271826425 0.328000608081297 0.390737497473426 0.382271103075078 0.547843625964095 0.356697187996967 0.298064705890974 0.393205550944324 0.535268992875675 0.477955186114983 0.466444015383265 0.424849119318298 0.448071277510661 0.257363549509969 0.444957308640428 0.422021849575583 0.483783667363961 0.474019343668974 0.515617576029677 0.456716785767252 0.303010219477851 0.300641755846818 0.360907067462444 0.250287184139169 0.45077243259191 0.39783704800558 0.426103930587385 0.387486079348643 0.270145740551185 0.301796621026312 0.247829904946921 0.267699031266577 0.443780445679313 0.439171094204607 0.443844607875779 0.505803293330599 0.537073085389249 0.314456216941808 0.304456528384963 0.352943350728769 0.428325855416577 0.361213833334384 0.306236244144896 0.202617757749224 0.400015191881955 0.397321727491172 0.435656369496836 0.736504540334067 0.560753248514379 0.594175330549464 0.689672805339117 0.60895440933451 0.653665734464318 0.491794146851835 0.58468439179729 0.546732066683359 0.470404502709412 0.645339991677501 0.608728641538658 0.623449958036252 0.631545315512144 0.395483675469746 0.5815348872841 0.586003933803774 0.787785697280595 0.676084212728084 0.763208096811614 0.546179908542201 0.519949476480836 0.617292791512987 0.673637473293977 0.467236390121757 0.434784618886545 0.590940108588819 0.365789101851546 0.624859295183391 0.494091428276841 0.695085573865976 0.561076564695943 0.620188572243304 0.506410883106847 0.486214123597426 0.417586260858023 0.592837915121997 0.419916956829423 0.538205633564183 0.60831615138094 0.574919574383548 0.562369319064854 0.584639575666783 0.659701944417109 0.717639041800953 0.501383696247878 0.693768996312731 0.551698970388731 0.638051756397653 0.507988175846999
"A6" 0.430253916618438 0.530011876438573 0.409754321399431 0.282679215072881 0.0866526646677629 0.469745812354218 0.437889888322911 0.442810845216672 0.440855107838667 0.50947955713921 0.573061056256339 0.402327894150949 0.417533297782854 0.370964781687579 0.552390864240947 0.521040707558434 0.464812533501653 0.444453716427847 0.560836080270238 0.341913079907857 0.489517391339842 0.525568608951128 0.530873263558521 0.402461230261986 0.443186806324044 0.563697687676157 0.29719296698188 0.41156487106352 0.454727409631093 0.452758507851715 0.558305269868387 0.469803905898805 0.50032777330308 0.396302539099429 0.363205400065476 0.463183098765841 0.326002551699808 0.381928176239096 0.566792822407928 0.518999396370617 0.4243030130293 0.554219133764949 0.392839420820451 0.416315134151223 0.48316695514238 0.378208652824523 0.524262047752369 0.48920959442481 0.368293298361343 0.391649167028648 0.535757262903671 0.433074422086089 0.391115615065365 0.668357470153568 0.597140108684166 0.601554782735396 0.695422725939362 0.567306802766297 0.653538409274063 0.594256538442361 0.593566596943595 0.512957538645374 0.5438330965218 0.629777377783691 0.590555023203224 0.604761727706365 0.646055652577613 0.497649328282868 0.679721378000712 0.621344307961041 0.741398854801051 0.672872883994029 0.768711420657519 0.559569860308112 0.541017406956942 0.590016173550212 0.661867016124508 0.540981789578732 0.546229361766893 0.608539260751767 0.56406732530454 0.652272897601285 0.46660774834121 0.663705853975335 0.57569119035736 0.629625049456918 0.551340332672625 0.548922020654748 0.437379192708031 0.634796494899544 0.505093618125532 0.528843236679234 0.620408005646119 0.537044940682396 0.638603482203519 0.603015202685329 0.701139513737867 0.681254518727767 0.521672304164451 0.685907855096855 0.498605749928447 0.626386706880499 0.536564481640354
"A10" 0.441367172049129 0.474485301245201 0.486956770187015 0.476170844021879 0.469745812354218 0.0901881384947487 0.498526092976646 0.340403312778381 0.44887313023246 0.536204429821873 0.303991678956458 0.380858576287805 0.543437211283092 0.410743100440102 0.280922223696992 0.422787299502953 0.532291468407929 0.486630219063323 0.40001152666567 0.364592212116195 0.438123063981968 0.369904092867962 0.598364885641895 0.348403118703142 0.455396845190403 0.703588714557724 0.382030362724905 0.413755236229216 0.460250878542131 0.380299045145559 0.377896415751191 0.380112603089676 0.458570396135879 0.293819235767326 0.558781786620252 0.5439809656332 0.455246906922474 0.522186308711696 0.511815482853264 0.419546526705991 0.474320683233797 0.40219050912543 0.316762401760749 0.413909489066672 0.584371081924547 0.431713023102286 0.407821330821604 0.547822069223361 0.468728487953138 0.510040792703876 0.485529041793967 0.431168172725523 0.522714123347987 0.593989705443952 0.625456824713509 0.484914426471845 0.685106702165588 0.53201764464196 0.585725591007227 0.503708148738559 0.598440685399563 0.649452882792627 0.526549417845641 0.529035576473574 0.613434506011778 0.654277373972834 0.542901392599879 0.466330435285008 0.579092998403675 0.681139950951916 0.815052655288039 0.680523229317322 0.762070643629118 0.649194265820632 0.59008360280989 0.705277492636848 0.533850014565261 0.560251065621389 0.544293626095105 0.525385049529053 0.534257949765512 0.6732739320287 0.598829045063638 0.526092393756842 0.54655739223836 0.723400619912485 0.610244174379468 0.60932933987373 0.421701807333777 0.716059368028416 0.572684798119115 0.638681196581512 0.688874736252136 0.624179272119723 0.596461476214452 0.601373047040713 0.563721868972419 0.725889755707451 0.55995303165569 0.711633688961444 0.600153281027423 0.660200807104573 0.557279090610878
"A11" 0.503608167621777 0.449370493187226 0.309985808257724 0.363185271826425 0.437889888322911 0.498526092976646 0.0771354854833553 0.323583193064948 0.299141704312177 0.466627654435342 0.52523519654418 0.511953886487395 0.50849762110301 0.394231810317845 0.368933034920829 0.423033189203553 0.474254934569115 0.398000205746171 0.344539913079302 0.36495355723356 0.437802405484968 0.357294254772993 0.449389871527956 0.470732583191052 0.455824972374262 0.631401458919725 0.423189060816213 0.291740081318538 0.379197035947734 0.421657599351205 0.465694376520717 0.44101612025591 0.390242782502615 0.384854485166971 0.505819767103121 0.53956205874764 0.403437397013893 0.518387973721869 0.513428459549665 0.389996869981564 0.627964292936805 0.474148453981037 0.578808811664429 0.446149752022304 0.553358113476423 0.490793281071533 0.324794490985218 0.427121200203787 0.33004896185175 0.533453528266367 0.347926877401434 0.474151938793737 0.686469339842086 0.676642059842235 0.640637362807966 0.551178846328559 0.717819431218332 0.668861778777175 0.654071548499927 0.545570555852434 0.650862481633509 0.607577418759198 0.613345002759274 0.686058601209181 0.71458523734405 0.634348449265534 0.71790427827541 0.475707493419136 0.644175633591366 0.72057856868453 0.810745968829483 0.765046847921577 0.829169509117727 0.653251116664997 0.699785777532541 0.688700505138369 0.610029285563718 0.573975147166241 0.495064561425561 0.577014506166559 0.560370883279437 0.643341688813029 0.650177844916522 0.609947695562465 0.70759401856298 0.645702558482673 0.657985219999432 0.577693969670613 0.405139479680192 0.633041196520936 0.632070118067156 0.652380331064955 0.70380228370047 0.561418429604461 0.567224716995411 0.618466008112545 0.631524602056114 0.687800631371917 0.59719896208598 0.724088241528269 0.629059747380145 0.689551910326975 0.646661374659652
"A14" 0.373157811581642 0.360646505631186 0.337990388385645 0.328000608081297 0.442810845216672 0.340403312778381 0.323583193064948 0.100047589485936 0.371087823204447 0.444756205560468 0.550467631642608 0.285676903483341 0.458664989418187 0.344129946963521 0.410210339786895 0.437365028439749 0.55073527270147 0.45171728901743 0.424170702074458 0.365953501470007 0.442225150591656 0.373771160022056 0.578695342264087 0.365471692720805 0.469159303110637 0.526712839036468 0.399282626401796 0.236280150592354 0.479954889798755 0.225733559605876 0.40863652064607 0.428391352792158 0.401217733006196 0.318173712160098 0.482667056160174 0.398739111331351 0.39591394973591 0.363715892579236 0.400186726541638 0.398046170259233 0.557686601259472 0.398878040790043 0.448890411298125 0.425817330208444 0.43729440888027 0.490271765068512 0.398828134732005 0.479711742059414 0.361026196118894 0.45128669458222 0.382424810703594 0.428884705630844 0.60352046716192 0.662265130965176 0.599603554208748 0.555107712838309 0.65866246752859 0.715167253584803 0.598113389141648 0.439041484294685 0.545295439068133 0.618380838961964 0.518511648208683 0.61718201750157 0.722028605049657 0.672206751317897 0.624416399194025 0.421832505197317 0.58014695915151 0.674073328252556 0.831995892514584 0.667493244043728 0.74835704067055 0.561372134334718 0.569548049871165 0.681295707618891 0.640814951599115 0.522323164599619 0.508640730478304 0.552445694490529 0.568918401944873 0.641354720675163 0.571707029015733 0.555079582759998 0.607329411294759 0.69347791604065 0.612721870055989 0.581919394097197 0.454285516144321 0.716242310891349 0.523948036780899 0.569951665623531 0.721982831245108 0.563496402264611 0.598692555752512 0.602050583165426 0.652706362971986 0.691340911819221 0.568056528714863 0.749129433164786 0.632360514197437 0.625975805818033 0.615136093633534
"A15" 0.522595934853356 0.418667889278636 0.317671994067463 0.390737497473426 0.440855107838667 0.44887313023246 0.299141704312177 0.371087823204447 0.110835379742801 0.528181621739544 0.423973974149597 0.363539019690154 0.499518468298698 0.363418878666724 0.325824115361593 0.244517855710867 0.417879193902373 0.343240401537366 0.403144393731132 0.22072450839657 0.378491051893207 0.343735866863091 0.348020757867117 0.369532662628121 0.487376093208085 0.550292338382977 0.387087010978676 0.305680285558924 0.510380255904356 0.432935954301336 0.321218164889356 0.301272401924305 0.512925895453801 0.320039081352527 0.530252795493142 0.521454930451611 0.322553560642124 0.500149747657727 0.464606503136831 0.491599165394125 0.551985775453686 0.329672242349677 0.52983605554042 0.373108752187974 0.506284823493095 0.364753962265743 0.366570361213264 0.453733986962578 0.313694163086123 0.474745723148323 0.400928026795249 0.410901930036096 0.523230089815576 0.625905042927927 0.490376081466373 0.598573564105108 0.610398390997662 0.629303643634652 0.506989268265188 0.444660168683543 0.560756170650106 0.456776355373224 0.56823814663524 0.636066205613052 0.607330478849917 0.559743756484386 0.605384462792561 0.436767829368916 0.564909433270762 0.583760167745005 0.658556421091575 0.625356449008622 0.750011632042293 0.584813615957663 0.65988725474184 0.623101127305611 0.558942398968115 0.461127322932548 0.343300296296816 0.41915830402942 0.491793476500173 0.505778666555325 0.508806259682711 0.571368725432434 0.524451458790353 0.539375212520627 0.596592663281161 0.425929704541867 0.328898549129405 0.523251650762582 0.551531607464431 0.493309682886059 0.50204195351082 0.580341871165524 0.458930077056004 0.578567485321844 0.620630143327134 0.513547767707072 0.48307136184126 0.654680300719404 0.649136442668461 0.653115587332582 0.572056681878503
"A16" 0.462020888808446 0.584871121351499 0.479572908602451 0.382271103075078 0.50947955713921 0.536204429821873 0.466627654435342 0.444756205560468 0.528181621739544 0.143877152205597 0.573891860551077 0.542148971386627 0.464262772078219 0.663209054024326 0.448386815968182 0.659918361163749 0.624486211554492 0.687884632428356 0.487540420946221 0.460512399538809 0.593396121798055 0.485385971565055 0.475186849162514 0.551271407120694 0.480974235355928 0.660423847740361 0.557575983330327 0.537884235331799 0.3960835211846 0.376169280414521 0.434877751146335 0.539963530208151 0.555409888756807 0.438098570955075 0.39490439030717 0.386711829229487 0.439714535169145 0.302138522889597 0.606165942330957 0.513688680126732 0.61897691337667 0.508558513894253 0.617537411549977 0.541853397958484 0.502559145377791 0.644455867802777 0.513304070388932 0.493148102321159 0.574559259902128 0.374646246592339 0.363274307595511 0.687219393317618 0.60430233184723 0.691403172659818 0.562453172060593 0.594645337033726 0.628880608811128 0.514399270190316 0.633869456051244 0.596014695613849 0.63413650644821 0.687813633191189 0.591381490410151 0.562259443874758 0.670675274139102 0.627033925358806 0.627005567686241 0.559204699912139 0.595147351708804 0.620888319295225 0.8269212574869 0.750232530706139 0.738561519477284 0.633391220165231 0.541171925541573 0.735851845244048 0.664096372467147 0.629952330977474 0.629703621786717 0.624737288427368 0.646353091307351 0.676226786236255 0.673778221937283 0.783133406815182 0.615490157969089 0.759279391266926 0.642690656020235 0.736385738844652 0.638011523946845 0.614764506728502 0.667751258360306 0.681600610937731 0.641268078421417 0.723810308505482 0.633687605728882 0.533462185360866 0.607264251859378 0.769525065449652 0.697469413521758 0.752978510272531 0.644846979163918 0.695837921746193 0.529508043204139
