Species	Plot.color	Plot.symbol
FCR1	1	blue	16
FCR2	1	blue	15
FCR3	1	blue	5
FCR4	2	red	10
FCR5	1	blue	2
FCR6	1	blue	4
FCR7	2	red	13
FCR8	2	red	13
FCR9	2	red	13
FCR10	2	red	13
FCR11	2	red	13
FCR12	2	red	13
FCR13	2	red	13
FCR14	2	red	13
FCR15	3	red	13
FCR16	2	red	10
FCR17	2	red	13
FCR18	2	red	13
FCR19	2	red	13
FCR20	2	red	13
